dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
157643,112,50,2,2.Adages,2_2.Adages,0
150144,93,44,2,2.Bios Rock,2_2.Bios Rock,0
120613,82,43,2,2.Critiques Rock,2_2.Critiques Rock,0
157382,99,47,2,2.Théâtre,2_2.Théâtre,0
150342,96,46,2,2.Twitts,2_2.Twitts,0
157518,101,48,2,titre,2_titre,0
158698,82,43,2,titrez,2_titrez,0
120614,82,43,3,3.Essais,3_3.Essais,0
150343,96,46,3,3.Essais,3_3.Essais,0
157519,101,48,3,3.Essais,3_3.Essais,0
150145,93,44,3,3.Essais ,3_3.Essais ,0
150249,94,45,3,3.Essais ,3_3.Essais ,0
157383,99,47,3,3.Essais ,3_3.Essais ,0
157644,112,50,3,3.Essais ,3_3.Essais ,0
167112,135,59,a,a.ancestral.1.ev,a_a.ancestral.1.ev,0
61668,42,35,a,abandonné,a_abandonné,0
54264,34,30,a,abandonné,a_abandonné,0
91796,73,42,a,abandonné,a_abandonné,0
61669,42,35,a,abattu,a_abattu,0
54265,34,30,a,abattu,a_abattu,0
91797,73,42,a,abattu,a_abattu,0
61670,42,35,a,abaxial,a_abaxial,0
91798,73,42,a,abaxial,a_abaxial,0
61671,42,35,a,abdiqué,a_abdiqué,0
54266,34,30,a,abdiqué,a_abdiqué,0
91799,73,42,a,abdiqué,a_abdiqué,0
61672,42,35,a,abîmé,a_abîmé,0
54267,34,30,a,abîmé,a_abîmé,0
91800,73,42,a,abîmé,a_abîmé,0
61673,42,35,a,aboli,a_aboli,0
54268,34,30,a,aboli,a_aboli,0
91801,73,42,a,aboli,a_aboli,0
61674,42,35,a,abondant,a_abondant,0
54269,34,30,a,abondant,a_abondant,0
91802,73,42,a,abondant,a_abondant,0
168560,34,30,a,abondant 1,a_abondant 1,0
61675,42,35,a,abondanta,a_abondanta,0
91803,73,42,a,abondanta,a_abondanta,0
61676,42,35,a,abonné,a_abonné,0
54270,34,30,a,abonné,a_abonné,0
91804,73,42,a,abonné,a_abonné,0
61677,42,35,a,abrupt,a_abrupt,0
54271,34,30,a,abrupt,a_abrupt,0
91805,73,42,a,abrupt,a_abrupt,0
61678,42,35,a,abruti,a_abruti,0
54272,34,30,a,abruti,a_abruti,0
91806,73,42,a,abruti,a_abruti,0
61679,42,35,a,absent,a_absent,0
54273,34,30,a,absent,a_absent,0
91807,73,42,a,absent,a_absent,0
61680,42,35,a,absolu,a_absolu,0
54274,34,30,a,absolu,a_absolu,0
91808,73,42,a,absolu,a_absolu,0
60521,34,30,a,absolu 1,a_absolu 1,0
68108,42,35,a,absolu 1,a_absolu 1,0
98220,73,42,a,absolu 1,a_absolu 1,0
60522,34,30,a,absolu 2,a_absolu 2,0
68109,42,35,a,absolu 2,a_absolu 2,0
98221,73,42,a,absolu 2,a_absolu 2,0
60523,34,30,a,absolu 3,a_absolu 3,0
68110,42,35,a,absolu 3,a_absolu 3,0
98222,73,42,a,absolu 3,a_absolu 3,0
61681,42,35,a,absorbé,a_absorbé,0
54275,34,30,a,absorbé,a_absorbé,0
91809,73,42,a,absorbé,a_absorbé,0
61682,42,35,a,abstrait,a_abstrait,0
54276,34,30,a,abstrait,a_abstrait,0
91810,73,42,a,abstrait,a_abstrait,0
61683,42,35,a,absurde,a_absurde,0
54277,34,30,a,absurde,a_absurde,0
91811,73,42,a,absurde,a_absurde,0
60524,34,30,a,absurde 1,a_absurde 1,0
68111,42,35,a,absurde 1,a_absurde 1,0
98223,73,42,a,absurde 1,a_absurde 1,0
61684,42,35,a,abusif,a_abusif,0
54278,34,30,a,abusif,a_abusif,0
91812,73,42,a,abusif,a_abusif,0
170876,34,30,a,académicien,a_académicien,0
61685,42,35,a,accablant,a_accablant,0
54279,34,30,a,accablant,a_accablant,0
91813,73,42,a,accablant,a_accablant,0
61686,42,35,a,accablé,a_accablé,0
54280,34,30,a,accablé,a_accablé,0
91814,73,42,a,accablé,a_accablé,0
61687,42,35,a,acceptable,a_acceptable,0
54281,34,30,a,acceptable,a_acceptable,0
91815,73,42,a,acceptable,a_acceptable,0
61688,42,35,a,accepté,a_accepté,0
54282,34,30,a,accepté,a_accepté,0
91816,73,42,a,accepté,a_accepté,0
61689,42,35,a,accessible,a_accessible,0
54283,34,30,a,accessible,a_accessible,0
91817,73,42,a,accessible,a_accessible,0
61690,42,35,a,accessoire,a_accessoire,0
54284,34,30,a,accessoire,a_accessoire,0
91818,73,42,a,accessoire,a_accessoire,0
61691,42,35,a,accidentel,a_accidentel,0
54285,34,30,a,accidentel,a_accidentel,0
91819,73,42,a,accidentel,a_accidentel,0
169311,34,30,a,accolé,a_accolé,0
61692,42,35,a,accompagné,a_accompagné,0
54286,34,30,a,accompagné,a_accompagné,0
91820,73,42,a,accompagné,a_accompagné,0
61693,42,35,a,accompli,a_accompli,0
54287,34,30,a,accompli,a_accompli,0
91821,73,42,a,accompli,a_accompli,0
61694,42,35,a,accordé,a_accordé,0
54288,34,30,a,accordé,a_accordé,0
91822,73,42,a,accordé,a_accordé,0
171289,34,30,a,accoté,a_accoté,0
170826,34,30,a,accouché,a_accouché,0
171194,34,30,a,accoustique,a_accoustique,0
170648,34,30,a,accoutré,a_accoutré,0
171405,34,30,a,accoutumé,a_accoutumé,0
61695,42,35,a,accroché,a_accroché,0
54289,34,30,a,accroché,a_accroché,0
91823,73,42,a,accroché,a_accroché,0
61696,42,35,a,accroupi,a_accroupi,0
54290,34,30,a,accroupi,a_accroupi,0
91824,73,42,a,accroupi,a_accroupi,0
128327,34,30,a,accueilli,a_accueilli,0
171434,34,30,a,accueilli 1,a_accueilli 1,0
61697,42,35,a,accumulé,a_accumulé,0
54291,34,30,a,accumulé,a_accumulé,0
91825,73,42,a,accumulé,a_accumulé,0
168253,34,30,a,accusateur,a_accusateur,0
61698,42,35,a,accusé,a_accusé,0
54292,34,30,a,accusé,a_accusé,0
91826,73,42,a,accusé,a_accusé,0
61699,42,35,a,acéphale,a_acéphale,0
54293,34,30,a,acéphale,a_acéphale,0
91827,73,42,a,acéphale,a_acéphale,0
158674,34,30,a,acharné,a_acharné,0
61700,42,35,a,acheté,a_acheté,0
54294,34,30,a,acheté,a_acheté,0
91828,73,42,a,acheté,a_acheté,0
61701,42,35,a,achevé,a_achevé,0
54295,34,30,a,achevé,a_achevé,0
91829,73,42,a,achevé,a_achevé,0
61702,42,35,a,acide,a_acide,0
54296,34,30,a,acide,a_acide,0
91830,73,42,a,acide,a_acide,0
135748,34,30,a,acoustique,a_acoustique,0
61703,42,35,a,âcre,a_âcre,0
91831,73,42,a,âcre,a_âcre,0
158653,34,30,a,âcre,a_âcre,0
167849,34,30,a,acrobate,a_acrobate,0
166885,34,30,a,acrobatique,a_acrobatique,0
61704,42,35,a,acteur,a_acteur,0
54297,34,30,a,acteur,a_acteur,0
91832,73,42,a,acteur,a_acteur,0
61705,42,35,a,actif,a_actif,0
54298,34,30,a,actif,a_actif,0
91833,73,42,a,actif,a_actif,0
61706,42,35,a,actuel,a_actuel,0
54299,34,30,a,actuel,a_actuel,0
91834,73,42,a,actuel,a_actuel,0
168919,34,30,a,adaptatif,a_adaptatif,0
61707,42,35,a,adapté,a_adapté,0
54300,34,30,a,adapté,a_adapté,0
91835,73,42,a,adapté,a_adapté,0
170091,34,30,a,adepte,a_adepte,0
168563,34,30,a,adhésif,a_adhésif,0
171200,34,30,a,adjectifs 1,a_adjectifs 1,0
167410,34,30,a,administratif,a_administratif,0
61708,42,35,a,admirable,a_admirable,0
54301,34,30,a,admirable,a_admirable,0
91836,73,42,a,admirable,a_admirable,0
168383,34,30,a,admirateur 1,a_admirateur 1,0
170090,34,30,a,admiré,a_admiré,0
54302,34,30,a,admis,a_admis,0
61709,42,35,a,adolescent,a_adolescent,0
54303,34,30,a,adolescent,a_adolescent,0
91837,73,42,a,adolescent,a_adolescent,0
