id_dico,genex:hasDico,id_conj,modele,id0,present1,id1,present2,id2,present3,id3,present4,id4,present5,id5,present6,id6,imparfait1,id7,imparfait2,id8,imparfait3,id9,imparfait4,id10,imparfait5,id11,imparfait6,id12,passeSimple1,id13,passeSimple2,id14,passeSimple3,id15,passeSimple4,id16,passeSimple5,id17,passeSimple6,id18,futurSimple1,id19,futurSimple2,id20,futurSimple3,id21,futurSimple4,id22,futurSimple5,id23,futurSimple6,id24,conditionnel1,id25,conditionnel2,id26,conditionnel3,id27,conditionnel4,id28,conditionnel5,id29,conditionnel6,id30,subjonctif1,id31,subjonctif2,id32,subjonctif3,id33,subjonctif4,id34,subjonctif5,id35,subjonctif6,id36,participe,id37,infinitif
40,33,680,avoir,0,ai,1,as,2,a,3,avons,4,avez,5,ont,6,avais,7,avais,8,avait,9,avions,10,aviez,11,avaient,12,eus,13,eus,14,eut,15,eûmes,16,eûtes,17,eurent,18,aurai,19,auras,20,aura,21,aurons,22,aurez,23,auront,24,aurais,25,aurais,26,aurait,27,aurions,28,auriez,29,auraient,30,aie,31,aies,32,ait,33,ayions,34,ayiez,35,aient,36,ayant,37,avoir
40,33,681,être,0,suis,1,es,2,est,3,sommes,4,êtes,5,sont,6,étais,7,étais,8,était,9,étions,10,étiez,11,étaient,12,fus,13,fus,14,fut,15,fûmes,16,fûtes,17,furent,18,serai,19,seras,20,sera,21,serons,22,serez,23,seront,24,serais,25,serais,26,serait,27,serions,28,seriez,29,seraient,30,sois,31,sois,32,soit,33,soyions,34,soyiez,35,soient,36,étant,37,être
40,33,682,dire,0,is,1,is,2,it,3,isons,4,ites,5,isent,6,isais,7,isais,8,isait,9,isions,10,isiez,11,isaient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,irai,19,iras,20,ira,21,irons,22,irez,23,iront,24,irais,25,irais,26,irait,27,irions,28,iriez,29,iraient,30,ise,31,ises,32,ise,33,isions,34,isiez,35,isent,36,isant,37,ire
40,33,683,jeter,0,ette,1,ettes,2,ette,3,etons,4,etez,5,ettent,6,etais,7,etais,8,etait,9,etions,10,etiez,11,etaient,12,etai,13,etas,14,eta,15,etâmes,16,etâtes,17,etèrent,18,etterai,19,etteras,20,ettera,21,etterons,22,etterez,23,etteront,24,etterais,25,etterais,26,etterait,27,etterions,28,etteriez,29,etteraient,30,ette,31,ettes,32,ette,33,etions,34,etiez,35,ettent,36,etant,37,eter
40,33,684,aimer,0,e,1,es,2,e,3,ons,4,ez,5,ent,6,ais,7,ais,8,ait,9,ions,10,iez,11,aient,12,ai,13,as,14,a,15,âmes,16,âtes,17,èrent,18,erai,19,eras,20,era,21,erons,22,erez,23,eront,24,erais,25,erais,26,erait,27,erions,28,eriez,29,eraient,30,e,31,e,32,e,33,ions,34,iez,35,ent,36,ant,37,er
40,33,685,placer,0,ce,1,ces,2,ce,3,çons,4,cez,5,cent,6,çais,7,çais,8,çait,9,cions,10,ciez,11,çaient,12,çai,13,ças,14,ça,15,çâmes,16,çâtes,17,cèrent,18,cerai,19,ceras,20,cera,21,cerons,22,cerez,23,ceront,24,cerais,25,cerais,26,cerait,27,cerions,28,ceriez,29,ceraient,30,ce,31,ces,32,ce,33,cions,34,ciez,35,cent,36,çant,37,cer
40,33,686,manger,0,e,1,es,2,e,3,eons,4,ez,5,ent,6,eais,7,eais,8,eait,9,ions,10,iez,11,eaient,12,eai,13,eas,14,ea,15,eâmes,16,eâtes,17,èrent,18,erai,19,eras,20,era,21,erons,22,erez,23,eront,24,erais,25,erais,26,erait,27,erions,28,eriez,29,eraient,30,e,31,es,32,e,33,ions,34,iez,35,ent,36,eant,37,er
40,33,687,inquiéter,0,ète,1,ètes,2,ète,3,étons,4,étez,5,ètent,6,étais,7,étais,8,était,9,étions,10,étiez,11,étaient,12,étai,13,étas,14,éta,15,étâmes,16,étâtes,17,étèrent,18,éterai,19,éteras,20,étera,21,éterons,22,éterez,23,éteront,24,éterais,25,éterais,26,éterait,27,éterions,28,éteriez,29,éteraient,30,ète,31,ètes,32,ète,33,étions,34,étiez,35,ètent,36,étant,37,éter
40,33,688,appeler,0,elle,1,elles,2,elle,3,elons,4,elez,5,ellent,6,elais,7,elais,8,elait,9,elions,10,eliez,11,elaient,12,elai,13,elas,14,ela,15,elâmes,16,elâtes,17,elèrent,18,ellerai,19,elleras,20,ellera,21,ellerons,22,ellerez,23,elleront,24,ellerais,25,ellerais,26,ellerait,27,ellerions,28,elleriez,29,elleraient,30,elle,31,elles,32,elle,33,elions,34,eliez,35,ellent,36,elant,37,eler
40,33,689,acheter,0,ète,1,ètes,2,ète,3,etons,4,etez,5,ètent,6,etais,7,etais,8,etait,9,etions,10,etiez,11,etaient,12,etai,13,etas,14,eta,15,etâmes,16,etâtes,17,etèrent,18,èterai,19,èteras,20,ètera,21,èterons,22,èterez,23,èteront,24,èterais,25,èterais,26,èterait,27,èterions,28,èteriez,29,èteraient,30,ète,31,ètes,32,ète,33,etions,34,etiez,35,ètent,36,etant,37,eter
