id_dico,genex:hasDico ^^resource,type,num,lib,lib_eli
14,28,complément,1,me,m'
14,28,complément,2,te,t'
14,28,complément,3,se,s'
14,28,complément,4,nous,nous 
14,28,complément,5,vous,vous 
14,28,complément,6,les,les 
14,28,complément,7,leur,leur 
14,28,complément,8,lui,lui 
14,28,complément,9,[=1|a_le],l'
14,28,complément,10,[=2|a_le],l'
14,28,complément,11,[=3|a_le],l'
14,28,complément,12,[=x|a_le],l'
14,28,complément,13,,
14,28,complément,14,,
14,28,complément,15,vous en,vous en 
14,28,complément,16,l'on,l'on
14,28,complément,18,s'il y,s'il y 
14,28,complément,19,d'en,d'en
14,28,complément,20,en,en
14,28,complément,21,m'en,m'en
14,28,complément,22,t'en,t'en
14,28,complément,23,s'en,s'en
14,28,complément,24,y ,y 
14,28,complément,25,m'y,m'y
14,28,complément,26,t'y,t'y
14,28,complément,27,s'y,s'y 
14,28,complément,28,de m'en,de m'en
14,28,complément,29,de t'en,de t'en
14,28,complément,30,de s'en,de s'en
14,28,complément,31,moi,moi
14,28,complément,32,toi,toi
14,28,complément,33,soi,soi
14,28,complément,34,leur en,leur en
14,28,complément,35,d'en,d'en
14,28,complément,36,d'y,d'y
14,28,complément,37,y en,y en 
14,28,complément,38,lui en,lui en
14,28,complément,39,à,à 
14,28,complément,40,de,d'
14,28,complément,41,pour,pour 
14,28,complément,42,que,qu'
38,31,complément,46,se les,se les 
38,31,complément,45,se la,se l'
38,31,complément,44,se le,se l'
38,31,complément,43,par,par 
38,31,complément,42,que,qu'
38,31,complément,41,pour,pour 
38,31,complément,40,de,d'
38,31,complément,39,à,à 
38,31,complément,38,lui en,lui en
38,31,complément,37,y en,y en 
38,31,complément,36,d'y,d'y 
38,31,complément,35,d'en,d'en 
38,31,complément,34,leur en,leur en 
38,31,complément,33,soi,soi 
38,31,complément,32,toi,toi 
38,31,complément,31,moi,moi 
38,31,complément,30,de s'en,de s'en 
38,31,complément,29,de t'en,de t'en 
38,31,complément,28,de m'en,de m'en 
38,31,complément,27,s'y,s'y 
38,31,complément,26,t'y,t'y 
38,31,complément,25,m'y,m'y 
38,31,complément,24,y,y 
38,31,complément,23,s'en,s'en 
38,31,complément,22,t'en,t'en 
38,31,complément,21,m'en,m'en 
38,31,complément,20,en,en 
38,31,complément,19,d'en,d'en 
